2015.41666666667,12031.0155278405
2015.5,12754.033206682
2015.58333333333,12021.2242576218
2015.66666666667,11840.0045383819
2015.75,11872.8953949947
2015.83333333333,12876.1044785162
2015.91666666667,12268.0466866231
2016,12264.4648852476
2016.08333333333,11957.5956677027
2016.16666666667,12034.4420639799
2016.25,12178.0875912484
2016.33333333333,12177.8099724153
2016.41666666667,12474.7693087066
2016.5,13188.9119070596
2016.58333333333,12447.4053792182
2016.66666666667,12257.6620328681
2016.75,12282.1997350065
2016.83333333333,13277.2227272348
