2015.41666666667,3583.74336141385
2015.5,3522.84841961879
2015.58333333333,3561.40760265141
2015.66666666667,3541.46967641454
2015.75,3555.65629831596
2015.83333333333,3591.03701213476
2015.91666666667,3528.89076117218
2016,3534.66201906459
2016.08333333333,3492.59272238638
2016.16666666667,3592.13909253667
2016.25,3579.66442003985
2016.33333333333,3592
2016.41666666667,3583.74336141385
2016.5,3522.84841961879
2016.58333333333,3561.40760265141
2016.66666666667,3541.46967641454
2016.75,3555.65629831596
2016.83333333333,3591.03701213476
